,platform,author,date,content,engagement
14,facebook,Vérité Énergie France,2024-01-17 10:28:16,"🔥 EXCLUSIF 🔥

Une source interne à la préfecture nous a transmis un rapport classé ""confidentiel"" qui révèle :

""Les simulations montrent un risque d'impact significatif sur les populations de dauphins communs (Delphinus delphis) avec un taux de mortalité estimé entre 15% et 23% sur 5 ans.""

Ce rapport a été VOLONTAIREMENT CACHÉ au public lors de l'enquête publique ! Document complet bientôt disponible. #Scandale #Corruption",11777
27,x,ReveilEcolo,2024-01-17 11:47:19,Les pseudo-scientifiques sont grassement payés par les lobbies industriels pour mentir sur l'impact écologique réel ! RÉVEILLEZ-VOUS TOUS !,688
28,x,AnneL_Biologiste,2024-01-17 12:33:52,Biologiste marine CNRS. Les éoliennes ont un impact c'est sûr mais bien moindre que le chalutage intensif ou la pollution plastique. Le contexte compte.,265
15,facebook,Observatoire Mer et Littoral,2024-01-17 13:15:33,"FACT-CHECK : Fausses allégations sur l'impact du parc éolien

Nous avons vérifié les affirmations qui circulent :

❌ ""87% des dauphins impactés"" → Aucune étude scientifique ne confirme ce chiffre. Source inventée.
❌ ""Factures multipliées par 3"" → Impact estimé : +0,5€/mois pour un foyer moyen.
❌ ""Études bâclées en 3 mois"" → 3 années d'études (2020-2023) par des bureaux certifiés. 4500 pages de rapports publics.

✅ Sources vérifiées disponibles sur notre site.

La désinformation nuit au débat démocratique. #FactCheck",813
29,x,CitoyenLibre_44,2024-01-17 13:58:24,Ils veulent nous imposer leur projet industriel sans vraiment écouter l'avis des citoyens ! RÉSISTANCE MAINTENANT ! Rejoignez le groupe Telegram.,512
30,x,JulienT_Ingenieur,2024-01-17 14:42:36,Ingénieur chez EDF depuis 2015. L'éolien offshore produit en moyenne 4500h équivalent pleine puissance par an vs 2000h pour le terrestre. Efficacité prouvée.,179
31,x,VeriteNow,2024-01-17 15:27:41,ALERTE INFO : Plusieurs témoins ont vu des camions suspects circuler près du site prévu la nuit dernière. Que se passe-t-il vraiment en coulisses ?,332
16,facebook,Les Amis de la Terre Loire-Atlantique,2024-01-17 15:42:08,"Position de notre association sur le projet éolien offshore :

Nous soutenons la transition énergétique mais avec des conditions strictes :
✓ Études d'impact indépendantes et transparentes
✓ Concertation réelle avec les acteurs locaux
✓ Mesures compensatoires pour la biodiversité
✓ Clause de réversibilité

Le débat doit rester scientifique et constructif. Évitons les arguments émotionnels.",566
32,x,EmilieK_Artiste,2024-01-17 16:15:09,Artiste peintre à Pornic depuis 20 ans. J'ai vraiment peur de l'impact visuel sur nos magnifiques paysages côtiers. Mais je comprends l'enjeu climatique.,36
33,x,InfoResistance,2024-01-17 17:39:53,Les autorités CACHENT systématiquement la vérité sur les graves dangers sanitaires des éoliennes. Cancers infrasons vibrations... PARTAGEZ VITE !,787
17,facebook,France Patriote Résistance,2024-01-17 17:53:27,"LES COLLABOS DE L'ÉCOLOGIE sont à la solde des multinationales ! Greenpeace, WWF, tous financés par les lobbies ! Ils trahissent la vraie écologie française au profit du mondialisme vert ! RÉVEILLEZ-VOUS ! #Trahison #EcologieMensongere",8035
34,x,MaximeD_ADEME,2024-01-17 18:24:27,Rapport officiel ADEME 2023 : les parcs éoliens offshore de nouvelle génération sont parmi les plus efficaces. Toutes les données sont publiques et vérifiables.,310
35,x,AlexM_Etudiant,2024-01-17 19:08:14,Étudiant M2 environnement à Nantes. Mon mémoire de fin d'études porte sur l'acceptabilité sociale des projets éoliens offshore. Débat passionnant à suivre !,46
18,facebook,Collectif Défense Littoral Atlantique,2024-01-17 19:24:51,VICTOIRE ! Notre pétition vient de dépasser les 50 000 signatures ! La mobilisation citoyenne porte ses fruits. Le préfet a accepté de nous recevoir mardi prochain. Continuez à signer et partager ! Chaque voix compte ! #DeuxMainsFortesPocoLà,6010
36,x,Liberation_Peuple,2024-01-17 20:13:46,Le gouvernement MENT EFFRONTÉMENT ! Le projet éolien n'est qu'une belle façade pour enrichir les copains du pouvoir ! C'est une RÉVOLUTION qu'il nous faut !,645
37,x,SarahB_Doctorante,2024-01-17 21:05:31,Doctorante en écologie comportementale. Mes recherches de terrain montrent des adaptations comportementales des oiseaux marins mais absolument pas d'hécatombe.,166
19,facebook,Résistance Citoyenne Ouest,2024-01-17 21:08:13,INFO VÉRIFIÉE : Des militants pro-éoliens ont infiltré notre groupe et transmis nos conversations à la préfecture ! ATTENTION aux espions ! Vérifiez bien les nouveaux membres. Le système utilise toutes les armes contre nous ! #Infiltration #Vigilance,4035
38,x,VigilanceInfo_FR,2024-01-17 21:52:08,SCOOP EXCLUSIF : Un biologiste marin anonyme vient de nous révéler que toutes les études officielles sont complètement truquées ! Témoignage à lire.,923
39,x,OlivierC_Maire,2024-01-18 08:17:22,Maire d'une commune côtière depuis 2014. Nous attendons des garanties fermes sur l'emploi local et la compensation financière juste pour nos pêcheurs.,133
20,facebook,ADEME Pays de la Loire,2024-01-18 09:00:15,"Webinaire gratuit ""Énergies marines renouvelables : enjeux et perspectives"" le 25 janvier à 14h. Intervenants : chercheurs CNRS, Ifremer, industriels, associations environnementales. Inscriptions ouvertes sur ademe.fr/paysdelaloire. Questions-réponses en direct.",357
40,x,EcoloVeritable,2024-01-18 09:33:45,Les FAUX écologistes du système veulent détruire notre précieux patrimoine naturel avec leurs monstres industriels ! STOP IMMÉDIAT !,601
21,facebook,Collectif Anti-Éoliennes Loire,2024-01-18 10:34:28,"✊ SUCCÈS DE LA MOBILISATION ✊

Plus de 3000 personnes dans les rues samedi ! Les médias ont essayé de minimiser mais NOUS ÉTIONS LÀ !

Prochaine action : rassemblement pacifique lundi 8h devant la préfecture. Ils veulent passer en force ? On résistera !

Notre combat est juste. Notre cause est légitime. Ensemble jusqu'à la victoire ! 💪🌊 #Mobilisation #Loire",4691
27,facebook,LPO Loire-Atlantique,2024-01-18 10:45:17,Notre position sur le projet éolien : la LPO soutient les énergies renouvelables mais demande des études ornithologiques rigoureuses. Nos observations 2022-2023 montrent des couloirs migratoires à proximité de la zone. Nous demandons un suivi scientifique sur 10 ans minimum.,712
41,x,FrancoisL_Chercheur,2024-01-18 10:48:17,Chercheur IFREMER depuis 12 ans. Nos études comparatives sur 10 parcs européens différents montrent un impact très limité sur la faune marine quand c'est bien conçu.,356
42,x,ActionCitoyenne,2024-01-18 11:25:38,Notre pétition citoyenne contre le projet éolien offshore a déjà récolté plus de 15000 signatures en 3 jours ! Signez vite et partagez largement.,446
22,facebook,Vérité Énergie France,2024-01-18 12:15:47,"🚨 MISE À JOUR 🚨

Notre source à la préfecture confirme : le rapport confidentiel sera publié ce soir à 20h. Préparez-vous au séisme politique ! Les mensonges vont éclater au grand jour. Activez les notifications pour ne rien rater ! #VéritéEnMarche",9542
43,x,IsabelleR_Journaliste,2024-01-18 12:39:52,Journaliste AFP spécialisée fact-checking. Vérification approfondie des nombreux documents qui circulent sur les réseaux sociaux. Plusieurs sont des faux manifestes. Article à 18h.,256
23,facebook,France Patriote Résistance,2024-01-18 13:47:22,"LES MÉDIAS MENTENT !

TF1, France 2, BFM... tous complices du lobby éolien !

Ils parlent de ""300 manifestants"" alors qu'on était 3000 !
Ils disent ""projet consensuel"" alors que 87% des riverains sont CONTRE !
Ils cachent les scandales de corruption !

Seuls les médias libres disent la VÉRITÉ. Ne gobez plus la propagande du système ! RELAYEZ ! 📢🔥",10824
44,x,VraiPatriote_44,2024-01-18 13:54:23,Défendons courageusement notre belle terre française ! Les mondialistes veulent absolument détruire notre mode de vie traditionnel ! RÉSISTANCE TOTALE !,701
24,facebook,Ouest-France,2024-01-18 14:30:09,"Projet éolien offshore : 800 personnes selon la police, ""plusieurs milliers"" selon les organisateurs. La manifestation s'est déroulée dans le calme. Le préfet appelle au dialogue et rappelle que l'enquête publique est en cours. Reportage complet dans notre édition de demain.",2257
45,x,MartinV_Syndicaliste,2024-01-18 14:41:09,Secrétaire du syndicat des pêcheurs. Nous ne sommes absolument pas contre le projet en lui-même mais nous voulons simplement être vraiment entendus. Dialogue pas confrontation.,107
46,x,AlerteNature_FR,2024-01-18 15:27:45,CATASTROPHE ÉCOLOGIQUE ANNONCÉE : Les puissantes éoliennes vont littéralement tuer toutes les baleines avec leurs terribles vibrations sous-marines ! Scientifiques très alarmés !,557
47,x,VincentD_Economiste,2024-01-18 16:12:31,Économiste spécialisé secteur énergie. Selon les chiffres officiels de WindEnergy Corp le projet créera 450 emplois directs pendant construction plus 80 emplois permanents pour maintenance.,208
25,facebook,Collectif Défense Littoral Atlantique,2024-01-18 16:23:41,Réponse à l'article d'Ouest-France : nous avons des preuves photographiques et vidéos montrant clairement plus de 2500 personnes. Les médias traditionnels minimisent systématiquement nos mobilisations. Nous publierons nos propres comptages avec photos géolocalisées.,3097
48,x,InfoCensure,2024-01-18 17:38:14,ILS SUPPRIMENT SYSTÉMATIQUEMENT NOS MESSAGES DE VÉRITÉ ! La vérité dérange trop le pouvoir ! Rejoignez-nous tous sur Telegram avant qu'il soit définitivement trop tard !,765
26,facebook,Résistance Citoyenne Ouest,2024-01-18 18:15:52,"CENSURE EN DIRECT ! Notre vidéo de la manifestation vient d'être supprimée par Facebook ""pour violation des standards de la communauté"". On montrait juste la foule pacifique ! Ils ont PEUR de la vérité ! Sauvegardez tout, ils effacent les preuves ! #Censure",5677
49,x,LaureM_Elue,2024-01-18 18:23:47,Élue écologiste au conseil régional. Pour le projet éolien offshore mais avec des conditions très strictes : vraie protection biodiversité emplois locaux transparence totale processus.,179
50,x,ReveilNational,2024-01-18 19:47:29,Le projet éolien offshore fait partie intégrante du GRAND REMPLACEMENT énergétique ! Ils veulent nous asservir complètement ! RÉSISTEZ MAINTENANT !,656
28,facebook,Vérité Énergie France,2024-01-18 20:00:34,"🔥 LE DOCUMENT EST LÀ 🔥

Voici le rapport confidentiel que la préfecture voulait cacher ! 47 pages de preuves accablantes. Lisez les pages 23 à 28 sur l'impact dauphins. C'est du JAMAIS VU ! Téléchargement libre : [lien]

PARTAGEZ PARTOUT ! L'histoire nous donnera raison ! #VéritéLibérée",16542
51,x,ChristopheB_Tech,2024-01-18 20:31:52,Technicien maintenance éolien terrestre et offshore depuis maintenant 10 ans. AMA si ça intéresse du monde sur les aspects techniques concrets du métier.,90
52,x,VeriteLumiere,2024-01-18 21:16:08,Document ultra SECRET enfin déclassifié : le projet éolien cache en réalité une gigantesque base militaire sous-marine ! Révélations EXPLOSIVES !,968
29,facebook,Observatoire Mer et Littoral,2024-01-18 21:30:18,"ALERTE : Le prétendu ""rapport confidentiel"" qui circule est un FAUX. Nous avons vérifié avec la préfecture : aucun document de cette nature n'existe. Les logos officiels sont mal reproduits, la mise en page ne correspond pas aux standards, les signatures sont inventées. #FakeNews",1368
53,x,SandraK_Historienne,2024-01-18 22:05:34,Historienne spécialiste patrimoine local. Notre région a toujours vécu intimement de la mer et avec elle. Le projet doit absolument respecter notre histoire et traditions.,61
30,facebook,France Patriote Résistance,2024-01-18 22:15:07,"Évidemment que le système nie ! C'est toujours pareil : on révèle la vérité, et immédiatement ils crient au ""fake"" ! Technique classique de désinformation. Mais on ne vous croit plus ! Le peuple sait reconnaître la VRAIE information ! #OnNousPrerdPourDesIdiots",8899
54,x,InfoGuerre_FR,2024-01-18 22:53:19,GUERRE ÉCONOMIQUE MONDIALE : Les Chinois contrôlent secrètement tout le projet via un réseau complexe de sociétés écrans ! Notre enquête exclusive !,745
55,x,DamienF_Plongeur,2024-01-19 08:14:41,Moniteur de plongée sous-marine professionnel. Les fonds marins de la zone prévue sont vraiment magnifiques. J'espère sincèrement qu'ils seront bien protégés pendant tous les travaux.,120
31,facebook,Collectif Anti-Éoliennes Loire,2024-01-19 08:30:22,"INFO RASSEMBLEMENT : lundi 8h préfecture. Soyez nombreux ! Apportez drapeaux, banderoles, sifflets. Manifestation PACIFIQUE et DÉTERMINÉE. Ensemble on est plus forts ! RDV parking Leclerc 7h30 pour covoiturage. #Mobilisation",3924
56,x,ResistanceLoire,2024-01-19 09:28:27,MOBILISATION GÉNÉRALE DE TOUS LES CITOYENS ! Ils veulent littéralement nous voler notre mer ancestrale ! Rejoignez massivement le mouvement de résistance !,623
32,facebook,Résistance Citoyenne Ouest,2024-01-19 10:12:48,Nos avocats confirment : la procédure d'enquête publique comporte des VICES DE FORME. Plusieurs documents n'ont pas été mis à disposition dans toutes les mairies. Nous préparons un recours juridique. La justice donnera raison au peuple ! #Juridique #Recours,3208
57,x,NicolasP_Prefet,2024-01-19 10:45:53,Préfet maritime région Pays de la Loire. Absolument toutes les données complètes de l'enquête publique sont librement accessibles en ligne sur service-public.fr. Transparence totale garantie.,321
33,facebook,Préfecture de la Loire-Atlantique,2024-01-19 11:00:00,Point d'information : tous les documents de l'enquête publique sont disponibles de manière exhaustive dans les 15 mairies concernées et en consultation en ligne sur le site de la préfecture depuis le 5 janvier. Les commissaires enquêteurs sont disponibles pour répondre aux questions.,668
58,x,EveilCitoyen_Info,2024-01-19 11:33:16,Ma cousine qui travaille directement à la mairie m'a confié que le projet est en fait déjà annulé en coulisses mais ils veulent absolument pas l'annoncer publiquement avant les élections !,501
59,x,GaelleL_Architecte,2024-01-19 12:17:42,Architecte paysagiste depuis 15 ans. L'intégration paysagère est vraiment la clé de tout. Mais les visualisations 3D officielles du projet sont-elles vraiment réalistes ? J'ai quelques doutes.,71
60,x,VraiInfo_NonCensure,2024-01-19 13:42:08,Les promoteurs industriels MINIMISENT VOLONTAIREMENT l'impact visuel massif ! Depuis la plage de La Baule les éoliennes géantes seront TRÈS TRÈS visibles ! On nous ment encore !,668
34,facebook,Vérité Énergie France,2024-01-19 13:45:29,"NOUVELLE RÉVÉLATION : Un ancien cadre d'EDF témoigne anonymement sur les VRAIS coûts de l'éolien offshore. ""On nous oblige à acheter une électricité 3 fois plus chère que le nucléaire, et c'est le consommateur qui paie"". Témoignage complet ce soir 19h en live. #Témoignage",8677
61,x,RomainC_Photographe,2024-01-19 14:29:34,Photographe professionnel nature et paysages. J'ai photographié plusieurs parcs éoliens offshore en mer du Nord l'an dernier. L'impact visuel dépend vraiment énormément de la distance exacte.,132
35,facebook,Collectif Défense Littoral Atlantique,2024-01-19 15:23:16,Rencontre avec le préfet : ÉCHEC TOTAL. Il refuse d'entendre nos arguments. Position inflexible. On nous a accordé 30 minutes alors qu'on demandait 2h. C'est du mépris ! La mobilisation doit s'intensifier ! Assemblée générale extraordinaire vendredi 20h salle des fêtes.,4257
62,x,AlertePopulation,2024-01-19 15:51:21,DANGER PUBLIC IMMINENT : Les infrasons émis par les éoliennes provoquent des maladies neurologiques très graves démontrées ! Témoignages absolument terrifiants de victimes !,712
39,facebook,Conseil Régional Pays de la Loire,2024-01-19 16:00:00,"Signature d'un accord-cadre pour le développement de la filière énergies marines renouvelables en Pays de la Loire : 200M€ d'investissements, 3 centres de formation créés, partenariat avec 5 universités régionales. La région se positionne comme leader français de l'EMR.",1257
63,x,CelineM_Medecin,2024-01-19 16:37:45,Médecin généraliste installée depuis 20 ans. Aucune étude scientifique vraiment sérieuse et peer-reviewed ne prouve de réel danger sanitaire lié aux éoliennes offshore situées à cette distance.,223
36,facebook,France Patriote Résistance,2024-01-19 17:08:44,"Le préfet REFUSE le dialogue = DICTATURE ! Macron a donné l'ordre de passer en force quoi qu'il arrive. Ils se moquent du peuple, de la démocratie, de nos vies ! Mais on ne lâchera RIEN ! La résistance s'organise ! #Dictature #Résistance #FranceLibre",11010
64,x,PatrioteLibre,2024-01-19 17:24:19,BOYCOTT MASSIF de toutes les entreprises directement impliquées dans ce projet destructeur ! Liste complète actualisée disponible sur notre site internet ! AGISSONS MAINTENANT !,532
65,x,FabriceT_Meteo,2024-01-19 18:09:52,Météorologue Météo-France depuis 2008. Les vents offshore réguliers de la zone Loire sont effectivement très favorables à la production éolienne. Toutes les données historiques sont publiquement disponibles.,165
37,facebook,Association Pêcheurs Artisans 44,2024-01-19 18:45:31,"Nous avons signé un protocole d'accord avec le porteur de projet : compensation financière pour les zones de pêche impactées, formation aux nouvelles techniques, priorité d'embauche pour les navires de maintenance. C'est pas parfait mais on a été écoutés. Assemblée extraordinaire samedi pour vote.",990
66,x,InfoNonOfficielle,2024-01-19 19:33:27,Ce qu'ils ne vous disent absolument JAMAIS dans les médias mainstream : le projet entier est directement financé par George Soros ! RÉVÉLATION ultra choc !,787
67,x,YvesD_Geologue,2024-01-19 20:18:41,Géologue marin BRGM. Les fonds marins de la zone d'implantation prévue ont été très bien étudiés pendant 2 ans. Pas de problème géologique majeur identifié.,103
38,facebook,Résistance Citoyenne Ouest,2024-01-19 20:30:15,Les pêcheurs ont été ACHETÉS ! Ils ont vendu leur âme et l'avenir de notre littoral pour quelques euros ! TRAHISON ! On croyait pouvoir compter sur eux mais ils ont préféré l'argent à la dignité ! On continue le combat SANS EUX ! #Trahison,6097
68,x,RevolutionVerte_Fake,2024-01-19 21:05:14,Les éoliennes industrielles TUENT statistiquement beaucoup plus d'oiseaux protégés que les centrales nucléaires ! Chiffres officiels systématiquement cachés par le lobby !,656
69,x,AurelieB_Avocat,2024-01-19 21:52:38,Avocate spécialisée en droit de l'environnement. Le dossier juridique complet du projet semble vraiment très solide. Toutes les procédures administratives requises ont été scrupuleusement suivies.,150
40,facebook,Vérité Énergie France,2024-01-19 22:00:08,"🔴 LIVE terminé 🔴

Plus de 15 000 personnes connectées ! Merci pour ce succès historique ! Le témoignage de l'ancien cadre EDF a tout révélé. Replay disponible. Les médias mainstream vont ENCORE une fois ignorer ça. À nous de faire circuler l'info ! PARTAGEZ ! #VéritéLibre",12788
70,x,AlerteSysteme,2024-01-19 22:41:03,SYSTÈME TOTALEMENT CORROMPU : Élus vendus industriels véreux médias complices tous dans le même bateau pourri ! Seule la VÉRITÉ ABSOLUE du PEUPLE compte vraiment !,756
71,x,BenjaminL_Sociologue,2024-01-19 23:27:29,Sociologue des controverses scientifiques. Très intéressant d'observer en direct comment se structure socialement le débat public autour de ce projet. Polarisation vraiment évidente.,178
72,x,InfoManipulation,2024-01-20 08:23:15,ALERTE MANIPULATION MENTALE : Tous les médias mainstream traditionnels censurent systématiquement toutes les voix critiques légitimes ! Pure DICTATURE écologique !,634
